"総勘定元帳 (2023年10月~2024年03月）"
"勘定科目","取引日","決算整理仕訳","相手勘定科目","税区分","取引先","品目","部門","管理番号","メモタグ","備考","勘定科目コード","相手取引先","相手品目","相手部門","相手メモタグ","相手備考","相手勘定科目コード","取引内容","発行元","借方金額","貸方金額","残高"
"現金","2023-10-24","0","前日繰越","","","","","","","","","","","","","","","","","","","9816160"
"現金","2023-10-24","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","1695000","8121160"
"現金","2023-10-25","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","540000","","8661160"
"現金","2023-10-25","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","820000","","9481160"
"現金","2023-10-25","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","542500","8938660"
"現金","2023-10-26","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","1040000","","9978660"
"現金","2023-10-26","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","520000","","10498660"
"現金","2023-10-26","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","544500","9954160"
"現金","2023-10-27","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","546000","9408160"
"現金","2023-10-30","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","1280000","","10688160"
"現金","2023-10-30","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","1340000","","12028160"
"現金","2023-10-30","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","870500","11157660"
"現金","2023-10-31","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","1120500","10037160"
"現金","2023-11-01","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","440000","","10477160"
"現金","2023-11-01","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","520000","","10997160"
"現金","2023-11-01","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","437000","10560160"
"現金","2023-11-02","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","438000","10122160"
"現金","2023-11-06","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","540000","","10662160"
