"総勘定元帳 (2023年11月~2023年11月）"
"勘定科目","取引日","決算整理仕訳","相手勘定科目","税区分","取引先","品目","部門","管理番号","メモタグ","備考","勘定科目コード","相手取引先","相手品目","相手部門","相手メモタグ","相手備考","相手勘定科目コード","取引内容","発行元","借方金額","貸方金額","残高"
"現金","2023-11-18","0","前日繰越","","","","","","","","","","","","","","","","","","","9563160"
"現金","2023-11-20","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","440000","","10003160"
"現金","2023-11-20","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","820000","","10823160"
"現金","2023-11-20","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","583500","10239660"
"現金","2023-11-21","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","840000","","11079660"
"現金","2023-11-21","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","540000","","11619660"
"現金","2023-11-21","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","1679500","9940160"
"現金","2023-11-22","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","540000","","10480160"
"現金","2023-11-22","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","820000","","11300160"
"現金","2023-11-22","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","545000","10755160"
"現金","2023-11-24","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","545500","10209660"
"現金","2023-11-27","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","1040000","","11249660"
"現金","2023-11-27","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","520000","","11769660"
